"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 27 07:20:40 GMT 2025","Wed Aug 27 07:20:41 GMT 2025","1557","LMS system","Authentication","Authorization","","","Navigation from login page to registration page",""
"passed","Wed Aug 27 07:20:43 GMT 2025","Wed Aug 27 07:20:44 GMT 2025","1431","LMS system","Courses","Courses","","","Check displaying of empty courses list",""
"passed","Wed Aug 27 07:20:38 GMT 2025","Wed Aug 27 07:20:41 GMT 2025","2919","LMS system","Authentication","Authorization","","","User login with correct email and password",""
"passed","Wed Aug 27 07:20:38 GMT 2025","Wed Aug 27 07:20:39 GMT 2025","1449","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Wed Aug 27 07:20:36 GMT 2025","Wed Aug 27 07:20:38 GMT 2025","1712","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Wed Aug 27 07:20:36 GMT 2025","Wed Aug 27 07:20:38 GMT 2025","1765","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Wed Aug 27 07:20:44 GMT 2025","Wed Aug 27 07:20:47 GMT 2025","2685","LMS system","Courses","Courses","","","Create course",""
"passed","Wed Aug 27 07:20:41 GMT 2025","Wed Aug 27 07:20:43 GMT 2025","1590","LMS system","Authentication","Registration","","","Registration with correct email, username and password",""
"passed","Wed Aug 27 07:20:47 GMT 2025","Wed Aug 27 07:20:49 GMT 2025","1740","LMS system","Dashboard","Dashboard","","","Check displaying of dashboard page",""
"passed","Wed Aug 27 07:20:45 GMT 2025","Wed Aug 27 07:20:48 GMT 2025","3370","LMS system","Courses","Courses","","","Edit course",""
